Course	Room	Teacher	Time	Students
006034	PK336	0213446	280	3818480 3769368 3774021 3796906 3667464 3691783 3692862 3816483 3602816 3821179 3817637 3820405 3956133 3930303 3651465 3694432 3710476 3788990 3817507 3821077 3821643 3824188 3930547 3821047 3790306 3910700 
006034	PK336	0213446	281	3818480 3769368 3774021 3796906 3667464 3691783 3692862 3816483 3602816 3821179 3817637 3820405 3956133 3930303 3651465 3694432 3710476 3788990 3817507 3821077 3821643 3824188 3930547 3821047 3790306 3910700 
006034	PK336	0213446	26	3818480 3769368 3774021 3796906 3667464 3691783 3692862 3816483 3602816 3821179 3817637 3820405 3956133 3930303 3651465 3694432 3710476 3788990 3817507 3821077 3821643 3824188 3930547 3821047 3790306 3910700 
008764	PK179	0899465	78	3930674 3910185 3818480 3580586 3820858 3929165 3930678 3475959 3689328 3823228 3902905 3903092 3914498 3929679 3930026 3930034 3902614 3860451 3915038 3930118 3470846 3823755 3929849 3930070 3580912 3581085 3914724 3818122 3931959 3651486 3816924 3846920 3902759 3913863 3915267 3931323 3668812 
010851	PK20	0409737	75	3692771 3818480 3493704 3556970 3651605 3690361 3774021 3581282 3695285 3574873 3577022 3578240 3579864 3692796 3818773 3821643 3628726 3797713 
010851	PK20	0409737	60	3692771 3818480 3493704 3556970 3651605 3690361 3774021 3581282 3695285 3574873 3577022 3578240 3579864 3692796 3818773 3821643 3628726 3797713 
015500	BYC127	0695890	213	3818480 3581315 3561430 3693856 3789136 3503630 3520100 3602816 3577806 3689329 3581282 3525604 3578240 3596193 3790863 3797606 3797662 3797720 3797819 3910540 3910769 
015500	BYC127	0695890	215	3818480 3581315 3561430 3693856 3789136 3503630 3520100 3602816 3577806 3689329 3581282 3525604 3578240 3596193 3790863 3797606 3797662 3797720 3797819 3910540 3910769 
011342	TAYD	3460456	278	3851345 3910321 3930135 3575266 3913185 3904254 3915026 3667676 3821687 3930102 3929102 3930296 3830308 3902404 3930083 3913210 3928911 3914354 
011342	TAYD	3460456	279	3851345 3910321 3930135 3575266 3913185 3904254 3915026 3667676 3821687 3930102 3929102 3930296 3830308 3902404 3930083 3913210 3928911 3914354 
002153	PK20	0168378	79	3929704 3903994 3458065 3482101 3560487 3675467 3816336 3817487 3818807 3819304 3821269 3901722 3930678 3693084 3789283 3799474 3801768 3818064 3833378 3852207 3901691 3929586 3768625 3773692 3914251 3596713 3821254 3722764 3914515 3717137 3785953 3789529 3808480 3818762 3820768 3861195 3915029 3929849 3930302 3521001 3606290 3694668 3819393 3869959 3764208 3818024 3854016 3902440 3905460 3693712 3694712 3716140 3725997 3774808 3789573 3796247 3817969 3818025 3819332 3909951 3929812 3789288 3904620 3627845 4086300 
002153	PK20	0168378	213	3929704 3903994 3458065 3482101 3560487 3675467 3816336 3817487 3818807 3819304 3821269 3901722 3930678 3693084 3789283 3799474 3801768 3818064 3833378 3852207 3901691 3929586 3768625 3773692 3914251 3596713 3821254 3722764 3914515 3717137 3785953 3789529 3808480 3818762 3820768 3861195 3915029 3929849 3930302 3521001 3606290 3694668 3819393 3869959 3764208 3818024 3854016 3902440 3905460 3693712 3694712 3716140 3725997 3774808 3789573 3796247 3817969 3818025 3819332 3909951 3929812 3789288 3904620 3627845 4086300 
